Cell_line,ve-LOGAC50
H650,5.218079
H1581,6.100549
H1770,5.583757
A549,5.992182
H522,6.389748
H720,5.992326
H1994,5.566283
H157,5.83889
H2444,4.84387
H358,5.5276
Calu1,5.97121
Calu6,5.3016
DFCI024,5.860121
DFCI032,6.14752
EKVX,4.978811
H1299,5.41005
H1355,5.714443
H1373,5.186419
H1568,5.478862
H1573,5.416801
H1651,5.759451
H1693,6.657578
H1703,5.939302
H1755,5.928118
H1792,7.347754
H1944,5.567031
H1975,5.614394
H2023,5.4698
H2030,6.443697
H2106,5.826814
H2122,4.673664
H2170,5.56225
H2172,5.826814
H2228,5.264401
H2250,4.785156
H2342,5.886056
H292,5.107349
H460,5.385103
H820,5.202733
H838,6.234332
H920,5.463441
HCC1171,5.30103
HCC1359,6.403403
HCC1438,6.306273
HCC193,5.185752
HCC2450,6.112946
HCC4006,5.302771
HCC827,5.642065
HCC95,5.987163
